age,job,marital,education,default,housing,loan,contact,month,day_of_week,unique_id
36.0,retired,married,unknown,no,no,no,telephone,jul,thu,ef229299-2182-4104-811c-41aa3daeaf18
36.0,retired,married,unknown,no,no,no,telephone,jul,thu,66598516-5003-430d-963c-1fb87ba43bd5
29.0,admin.,single,university.degree,no,no,no,telephone,jul,thu,c788a071-92ad-42f4-92a3-ca6b8cfcb269
37.0,technician,married,basic.9y,no,yes,no,telephone,jul,thu,15fe8da5-057e-4d0b-bdb5-59badf324a78
34.0,admin.,divorced,university.degree,no,no,no,telephone,jul,thu,3b84ecc2-3169-4fe6-b88e-81303e0e2b1d
34.0,management,married,university.degree,no,yes,no,telephone,jul,thu,eb5a9944-03e9-4d8b-b7c5-57f77624c493
29.0,blue-collar,divorced,high.school,no,yes,no,telephone,jul,thu,76b9c5b6-feba-430b-bad8-483300396b2b
52.0,housemaid,single,basic.4y,no,yes,no,telephone,jul,thu,279f3949-c13a-4eeb-b702-fe5d7c89abf3
24.0,admin.,single,high.school,no,yes,yes,telephone,jul,thu,9058f64a-1811-402b-b182-10e9f4683ca8
27.0,services,married,basic.9y,no,no,no,telephone,jul,thu,00e95304-5408-4bf4-a628-6d1e765108a8
30.0,technician,married,professional.course,no,yes,no,telephone,jul,thu,d8fa8184-ee86-4701-bff8-6eab2b422084
34.0,blue-collar,married,basic.6y,no,yes,no,telephone,jul,thu,e1da7e08-f0d1-4d0f-8f9e-88883a3c5977
41.0,services,single,high.school,unknown,no,yes,telephone,jul,thu,f610b49d-441d-48c5-8cf3-32731512dfc3
57.0,housemaid,married,basic.4y,no,yes,no,telephone,jul,thu,1cc2dbbd-818f-4d11-9ccd-a1ca00ef6b4e
32.0,services,married,high.school,no,yes,no,telephone,jul,thu,baf71656-19e6-4b82-89fc-ee9b75d46106
37.0,technician,married,basic.9y,no,no,no,telephone,jul,thu,41b74bfe-92b3-485c-9a2f-45856851937a
38.0,blue-collar,married,basic.6y,no,yes,no,telephone,jul,thu,74c7f46e-c0ae-4b85-90ad-305328ed805b
50.0,entrepreneur,married,professional.course,no,yes,no,telephone,jul,thu,6c993e07-24ae-4a73-9d1d-e9da97521ab9
28.0,management,single,unknown,no,no,no,telephone,jul,thu,33923eda-f301-436c-99c9-deff3cb3b7d4
39.0,blue-collar,married,basic.9y,unknown,no,yes,telephone,jul,thu,7a0d7d0c-a5dc-4832-b941-a729b02d6ada
34.0,blue-collar,married,basic.9y,no,yes,no,telephone,jul,thu,97dc1af6-4010-4adc-9aa2-56e9dbd9c8e2
30.0,services,married,basic.9y,no,no,yes,telephone,jul,thu,5629da21-ecd0-48eb-9f82-5481dcddf31f
25.0,services,single,high.school,no,yes,no,telephone,jul,thu,05076e0f-a8b7-4ab6-9cc0-51e50f1d3ed4
43.0,blue-collar,married,basic.4y,no,yes,no,telephone,jul,thu,e15a21c5-8534-4853-b600-56a4fb921a4f
26.0,technician,married,professional.course,no,yes,no,telephone,jul,thu,7fabaf42-812a-4c9f-8e20-e4ab7cd446e7
46.0,blue-collar,married,basic.9y,unknown,no,no,telephone,jul,thu,a1e9e68c-626f-433e-aaa9-53be4e2a63e1
29.0,entrepreneur,single,university.degree,no,yes,no,telephone,jul,thu,dab064df-d78d-47eb-b5fc-8a8772ab0bc2
23.0,technician,single,professional.course,no,yes,no,telephone,jul,thu,11db45e6-e234-411b-a6fb-4fca53fa036f
55.0,blue-collar,married,basic.4y,unknown,no,no,telephone,jul,thu,9ba9dad1-eccb-4470-baab-f4e3f0b39b71
36.0,management,married,basic.6y,unknown,yes,no,telephone,jul,fri,84711232-1c79-411b-9783-624a48cdab1d
46.0,self-employed,married,high.school,unknown,yes,no,telephone,jul,fri,8a62673e-606d-4028-af1e-7adf2678a75f
32.0,technician,single,professional.course,no,no,no,telephone,jul,fri,ebf6c015-20ef-4e27-ba77-0a3335c84fa7
46.0,blue-collar,married,unknown,no,yes,no,telephone,jul,fri,95425167-4cf5-4658-a8f0-0ad2203ef719
31.0,technician,married,high.school,no,yes,no,telephone,jul,fri,44665cf1-d105-4a8d-9773-553b91d63a6b
24.0,blue-collar,single,basic.9y,unknown,no,no,telephone,jul,fri,bc5014ba-6af7-42df-96dc-afc5e319fc33
37.0,admin.,single,university.degree,no,no,no,telephone,jul,fri,defe1652-4fae-45fe-9c47-fa0f4745558f
27.0,services,single,high.school,no,yes,no,telephone,jul,fri,dc8c9710-b193-41b0-96fd-21966a081e32
56.0,self-employed,married,basic.9y,unknown,no,no,telephone,jul,fri,464642f7-7eea-4f9a-bc03-98fa7cf85bea
55.0,technician,married,university.degree,no,yes,no,telephone,jul,fri,cf6d3c7e-f25e-4061-800f-7c032dac372f
32.0,blue-collar,married,basic.6y,unknown,no,yes,telephone,jul,fri,fce5d112-1beb-4d08-b24d-d65f9d4764a0
26.0,admin.,single,high.school,no,no,yes,telephone,jul,fri,8d01307f-e5ed-4bd2-a1aa-8db983829705
45.0,management,married,university.degree,unknown,no,yes,telephone,jul,fri,71cd2e60-5274-401d-9f0e-28d56f148d9e
45.0,management,married,university.degree,unknown,no,yes,telephone,jul,fri,7e3ff303-7c1c-44dc-bdfe-5724a1ea41d9
29.0,blue-collar,single,high.school,no,yes,no,telephone,jul,fri,42d0e451-4f8c-43a4-9bb5-738df521ba27
46.0,services,married,high.school,no,yes,no,telephone,jul,fri,4e490a37-d298-46ea-858f-65f1d493bdfd
32.0,technician,divorced,professional.course,no,yes,yes,telephone,jul,fri,682a175c-f18f-4e59-97f6-08b1b5ca71e6
32.0,blue-collar,married,basic.6y,no,yes,no,telephone,jul,fri,5f4c7b3e-408e-47aa-8c40-f2ba45d96205
43.0,management,married,high.school,no,no,yes,telephone,jul,fri,7dfb20fc-aecf-403f-864c-f5d1a4c83b66
32.0,housemaid,married,basic.6y,no,no,no,telephone,jul,fri,65895e9e-bccc-4f74-934c-307b47e18a41
30.0,admin.,single,high.school,no,no,no,telephone,jul,fri,04863a44-f107-432f-8e66-441a352440c3
39.0,admin.,married,high.school,no,no,no,telephone,jul,fri,7ad4baf7-eb9e-441b-aa5a-dd3194edb7c7
39.0,admin.,married,high.school,no,yes,no,telephone,jul,fri,8183ff3a-09d1-47d1-bd5a-39d7a8183307
32.0,blue-collar,single,high.school,no,no,no,telephone,jul,fri,c57c5350-683c-49e8-967a-0399861daf04
43.0,technician,married,university.degree,no,yes,no,telephone,jul,fri,85f76427-3324-4d4f-8725-fef0e8e11f96
40.0,blue-collar,single,high.school,no,no,no,telephone,jul,fri,88c90164-9925-47b4-a518-ca1b98b0ecbb
31.0,unemployed,single,professional.course,no,no,no,telephone,jul,fri,65e3864e-678c-4708-94df-922a10fadf35
36.0,entrepreneur,married,university.degree,no,no,no,telephone,jul,fri,d5469791-64d1-42f2-9787-d0e228186429
50.0,blue-collar,married,basic.4y,unknown,no,yes,telephone,jul,fri,8b5a187f-ce9f-4df7-af5c-33bc0c691ce3
28.0,admin.,single,university.degree,no,no,no,telephone,jul,fri,5ea5994c-ad3f-4f48-9d4b-533f8a439c45
31.0,admin.,single,university.degree,no,yes,no,telephone,jul,fri,34f7c4cd-a652-4dba-afd4-e67162339ffa
30.0,admin.,single,high.school,no,yes,no,telephone,jul,fri,3a86fb8e-11c2-4e68-9133-34bffd1a2bb5
30.0,admin.,single,high.school,no,yes,no,telephone,jul,fri,03ba57b6-22b1-4dff-bd2d-2c76f2723864
27.0,services,married,high.school,unknown,no,no,telephone,jul,fri,e946ae36-66a0-4281-9e71-415fd191d2a6
35.0,blue-collar,married,high.school,no,no,no,telephone,jul,fri,41fee3ab-2cae-4be1-80ff-15f2adf58bfb
34.0,admin.,married,university.degree,no,yes,no,telephone,jul,fri,d7cc9604-b291-4b56-b544-6e3603d3eaf6
30.0,admin.,single,university.degree,no,yes,no,telephone,jul,fri,53bbd716-5930-4350-9cca-2f641e40fcd1
41.0,entrepreneur,married,basic.4y,no,no,no,telephone,jul,fri,2739012c-727d-418b-abb1-4f2ddf3e14e5
43.0,blue-collar,divorced,basic.4y,unknown,no,no,telephone,jul,fri,1f4f175d-f4aa-4cc9-9d61-30cc53fe15d2
31.0,admin.,single,university.degree,no,yes,no,telephone,jul,fri,087bf99b-64ee-4a28-940d-69bc14bd201d
35.0,blue-collar,married,basic.4y,no,yes,no,telephone,jul,fri,6d1fb507-5679-4c90-98a2-f706bd20c64a
53.0,blue-collar,married,basic.4y,no,yes,no,telephone,jul,fri,2506e6bf-78ad-4ac4-a107-6b01fb1e0732
57.0,admin.,single,university.degree,unknown,no,no,telephone,jul,fri,a047181b-9d2f-452e-beb4-f6114a6af6ff
39.0,admin.,married,university.degree,no,no,no,telephone,jul,fri,4c272cda-f104-47d8-8372-4435d33d2ef7
41.0,blue-collar,married,basic.4y,unknown,yes,no,telephone,jul,fri,9550a7f2-fa1d-4bfc-92de-4127e848bed7
31.0,admin.,divorced,university.degree,no,yes,no,telephone,jul,fri,6a3dadbf-e41c-436b-9cdc-ee47791dff67
37.0,unemployed,married,university.degree,no,no,yes,telephone,jul,fri,e4439c71-4b92-4c9a-86da-2704f8a6eb99
26.0,admin.,single,high.school,no,yes,no,telephone,jul,fri,5e4f2f8e-5cc6-4a9e-abb1-54d6e4b3c13b
38.0,services,single,high.school,no,no,no,telephone,jul,fri,f329ad74-8bd7-4362-8524-fe2ddcd9d92b
34.0,technician,single,high.school,no,yes,no,telephone,jul,fri,a6306d88-4083-4fc0-b555-36ceaf4cf573
32.0,admin.,divorced,university.degree,no,no,yes,telephone,jul,fri,bb01fdd3-e1c8-457d-a236-788bb63ef732
53.0,housemaid,married,basic.4y,no,no,no,telephone,jul,fri,6fa3480e-49cb-466e-9a4f-3c8105cf26a6
41.0,entrepreneur,married,basic.4y,no,yes,no,telephone,jul,fri,53852a65-b7f9-4127-8c69-64bb919e9779
45.0,admin.,married,university.degree,no,no,no,telephone,jul,fri,c576a710-d2b3-4f8b-8de2-8caa42d9a849
33.0,technician,married,university.degree,no,unknown,unknown,telephone,jul,fri,50c9e9c0-a9c0-4f45-9556-9652a51b9a62
45.0,blue-collar,married,basic.4y,no,no,no,telephone,jul,fri,0c5a45c6-1388-4bc3-aab6-f387c7fb02e5
34.0,technician,single,professional.course,unknown,yes,no,telephone,jul,fri,f8d8a169-8378-4d81-86a7-7ebeedacf254
42.0,admin.,divorced,university.degree,no,yes,no,telephone,jul,fri,97c77f21-1dda-4d47-abf0-312edb366101
42.0,blue-collar,married,basic.9y,unknown,no,no,telephone,jul,fri,4ad63801-52c2-40bd-8fd8-dbcb44d53746
29.0,entrepreneur,married,basic.6y,no,yes,yes,telephone,jul,fri,21a144d0-d0c1-462f-88dd-28c07ebe522e
30.0,services,single,high.school,no,yes,no,telephone,jul,fri,3d3f4a35-93bd-4ab5-b68a-8be9221ac801
43.0,technician,single,professional.course,no,yes,no,telephone,jul,fri,1d356db3-4522-411e-a3c7-dcdd28a936fa
59.0,retired,married,basic.4y,unknown,no,no,telephone,jul,fri,2ec39c73-f6dd-4ae9-b2d3-1241b2e57a48
27.0,admin.,married,university.degree,no,yes,yes,telephone,jul,fri,09f92470-976d-4ac3-8e88-97d32518e3a2
28.0,blue-collar,divorced,basic.4y,no,no,no,telephone,jul,fri,55223d43-c185-400f-b3e3-2e86b201c088
29.0,admin.,single,university.degree,no,unknown,unknown,telephone,jul,fri,295aad4b-8903-4882-ab76-15299094659d
49.0,blue-collar,married,basic.9y,no,no,no,telephone,jul,fri,a63dc491-ea34-47d2-bcbb-b4b8dc9d983b
49.0,blue-collar,married,basic.9y,no,yes,no,telephone,jul,fri,4548204b-f20f-4d23-aafa-21ba0ee9e25a
45.0,blue-collar,married,basic.9y,no,yes,no,cellular,jul,fri,46586283-888b-44be-bffb-5e617ec1e8cb
29.0,entrepreneur,married,high.school,no,yes,no,cellular,jul,fri,f8b514db-7297-4c14-9a77-8b059ff7c0db
46.0,services,married,high.school,no,yes,no,telephone,jul,fri,96f78e54-de95-48c5-9436-415a814e8a23
33.0,technician,married,basic.9y,unknown,yes,no,cellular,jul,fri,170da302-ccf3-41b8-9568-484032f276dd
41.0,management,married,university.degree,no,yes,no,cellular,jul,fri,b698c85f-3e05-48c6-afc3-fff96cb65395
31.0,technician,single,professional.course,no,no,no,telephone,jul,fri,3ab9f9c7-4b73-4ce6-a296-b721a1c95d2d
30.0,services,divorced,high.school,no,yes,yes,cellular,jul,fri,33f7894c-e0a5-498e-bfc5-7c7d7b0f4379
58.0,retired,married,professional.course,unknown,yes,no,cellular,jul,fri,b9d5dc6c-6e22-4a05-9c4c-3a5e8d5b4b6d
31.0,blue-collar,married,basic.9y,no,unknown,unknown,cellular,jul,fri,c96c6409-b080-44c3-9713-33b050a64f4e
30.0,admin.,married,high.school,no,yes,no,cellular,jul,fri,15f6d616-6dcb-47ef-899d-64cb405b11d0
40.0,blue-collar,divorced,basic.6y,unknown,unknown,unknown,cellular,jul,fri,e34892a3-7b20-4f69-b6ab-87b74b55a4b9
33.0,services,married,high.school,no,yes,no,cellular,jul,fri,f65b55cd-f929-47fd-9fad-ce793fab5cc3
38.0,blue-collar,married,basic.9y,no,no,no,cellular,jul,fri,86de7a68-a444-4a5c-a94e-a402514b956b
29.0,admin.,married,basic.9y,no,yes,no,cellular,jul,fri,0de84a78-79de-4dd4-91d2-4765516f7d20
40.0,blue-collar,married,basic.9y,no,no,no,telephone,jul,fri,237402ef-c3c6-4c39-ad3f-5e42280fe870
48.0,blue-collar,married,basic.4y,no,no,yes,cellular,jul,fri,944ef767-4909-4638-81dd-8d47a38a439c
51.0,retired,married,basic.9y,unknown,no,no,cellular,jul,fri,116a21bc-ed82-416e-a4ad-33d0c80349f6
51.0,retired,married,basic.9y,unknown,yes,no,cellular,jul,fri,35f6c8d1-20ec-4fb4-89a7-c97edae2a26b
34.0,technician,married,high.school,unknown,yes,no,cellular,jul,fri,5b42eea2-0e50-404f-aee0-4c28bc97eb53
46.0,blue-collar,married,basic.9y,unknown,no,no,cellular,jul,fri,89b1e1ee-5cd7-4be2-8057-073aeb5fbcf1
34.0,unemployed,married,high.school,no,no,no,cellular,jul,fri,558b2c33-d0f5-4c2a-98eb-cfa3d22b1fd3
55.0,admin.,married,high.school,no,yes,no,cellular,jul,mon,190eb721-fac5-49b7-99c8-f298ab948a3c
47.0,admin.,married,university.degree,unknown,unknown,unknown,cellular,jul,mon,6579e984-9b8a-463c-9c1f-444efb54ebde
41.0,blue-collar,married,basic.4y,no,yes,no,cellular,jul,mon,b35e26c5-c033-43cf-a4bd-a7f6b05d7b5f
49.0,admin.,divorced,high.school,no,no,no,cellular,jul,mon,4993b385-aba4-4add-ab1a-9c4dd293a219
38.0,admin.,divorced,high.school,no,no,yes,cellular,jul,mon,4bc8fb5d-e628-4079-9b95-019f87bb877f
51.0,admin.,married,illiterate,unknown,no,no,cellular,jul,mon,2907716a-c777-4914-965c-7b93df9625d2
52.0,management,married,professional.course,no,yes,no,cellular,jul,mon,d91dc6fa-43c2-48d8-af03-9772b5c276d8
59.0,retired,married,professional.course,unknown,yes,yes,cellular,jul,mon,fbdacc7b-96f0-4c4d-9707-46d5ca6c68c7
33.0,self-employed,married,basic.9y,no,yes,no,cellular,jul,mon,17006254-da70-4fdd-9048-01942b9ac156
40.0,admin.,married,high.school,no,yes,yes,cellular,jul,mon,ff128a5d-e6c5-45f9-ad76-5a1e1226abcb
48.0,admin.,married,university.degree,no,yes,no,cellular,jul,mon,db75f3da-a748-4a8f-8693-599d88fedb34
57.0,admin.,divorced,basic.9y,no,yes,yes,cellular,jul,mon,efc8ed01-5662-433a-b54b-e1df493f8101
34.0,technician,single,university.degree,no,no,yes,cellular,jul,mon,6da78f5b-c680-4bc3-9fc4-9dd24aa3037f
53.0,self-employed,divorced,university.degree,no,no,no,cellular,jul,mon,f251f351-8ce4-4de4-b30d-65fa31895cbe
56.0,technician,married,university.degree,unknown,no,no,cellular,jul,mon,a0fd1c0f-fa6d-4e87-9be3-2d3ce64a6efe
29.0,unemployed,divorced,university.degree,no,yes,no,cellular,jul,mon,1d24ef14-9b4a-4be0-9189-b73d7b9f4331
52.0,blue-collar,married,basic.9y,unknown,no,no,cellular,jul,mon,55dddad6-37fb-4335-bbed-39552c6948c3
31.0,services,married,high.school,unknown,no,no,cellular,jul,mon,f68474a0-c186-411d-85b6-187cb6733570
30.0,blue-collar,single,basic.9y,no,yes,no,cellular,jul,mon,010f6ed9-8b97-4826-a05b-8d98dc55d5ad
45.0,admin.,married,basic.9y,no,yes,yes,cellular,jul,mon,c814136f-ceea-42e8-ae74-d3fc8d273c85
30.0,technician,single,professional.course,no,yes,yes,cellular,jul,mon,aa0f864a-1c1f-4c18-80c6-627ba59b8794
27.0,blue-collar,married,basic.9y,unknown,yes,yes,cellular,jul,mon,0bfb3880-4d7b-4d05-9a4f-58487ccee71a
42.0,blue-collar,married,basic.4y,no,yes,no,cellular,jul,mon,9b06a14b-0c1b-412e-b726-1e6fc86b46d1
35.0,admin.,single,university.degree,no,no,no,cellular,jul,mon,e30861f7-be6e-4ebb-b8d8-2a5864ad22bf
43.0,unemployed,married,high.school,unknown,yes,no,cellular,jul,mon,4e2f7dd7-ea04-4915-a8a2-0a2b4af879a0
35.0,services,married,professional.course,unknown,no,no,cellular,jul,mon,be75df25-f881-40fb-90ca-b1ff4ce59815
52.0,blue-collar,married,basic.9y,no,no,no,cellular,jul,mon,578d55f8-b490-4c6f-963c-92d7a1f69d99
32.0,blue-collar,married,basic.6y,no,no,no,telephone,jul,mon,74d3b952-d478-42cd-9f13-96f5be660195
48.0,admin.,married,university.degree,no,yes,yes,cellular,jul,mon,a202f854-e960-4b29-98af-cbaf2b84b4dd
40.0,blue-collar,married,basic.6y,no,no,no,telephone,jul,mon,a7648c3d-1589-434d-bdf7-b6c47e20b131
43.0,management,married,unknown,no,no,yes,cellular,jul,mon,0deb7245-2097-4e32-9c1f-d176e31a4587
34.0,blue-collar,married,basic.9y,unknown,yes,no,cellular,jul,mon,7b76eeb9-5973-4cde-858b-a9d9f08b5d43
42.0,self-employed,married,unknown,no,yes,no,cellular,jul,mon,dba2c4a7-7f5e-4033-89ce-c43df5f67282
52.0,management,divorced,university.degree,no,no,no,cellular,jul,mon,228b07a2-26bb-4d79-83f4-10c07794e705
31.0,blue-collar,married,basic.6y,unknown,no,no,cellular,jul,mon,1e94375f-c1b4-4dfc-8c4f-5f2a9edd8599
44.0,technician,divorced,professional.course,no,no,no,cellular,jul,mon,c7228478-8662-439c-a4ec-eb664539609c
40.0,technician,married,university.degree,unknown,no,no,cellular,jul,mon,13fe7bb0-23a3-4156-bfd6-b8bcd0c5eb93
42.0,technician,married,professional.course,unknown,no,no,cellular,jul,mon,65b8a497-3f04-413f-b127-a433d0de59da
42.0,services,married,high.school,unknown,yes,no,cellular,jul,mon,7f89e4da-706c-4638-8c8d-6b022e22f454
31.0,admin.,married,basic.9y,unknown,yes,no,telephone,jul,mon,23c38c40-f33f-4b38-ab71-385f95ee053e
57.0,management,divorced,university.degree,unknown,no,yes,cellular,jul,mon,521685d5-897c-4428-b9c7-e8a93f03350a
44.0,blue-collar,married,basic.9y,unknown,yes,no,cellular,jul,mon,4ce85ac1-a4cb-4ca6-9329-a133e4d2f5ce
52.0,services,married,basic.6y,no,no,yes,cellular,jul,mon,eb420488-641d-415f-b6ed-17d66c5563e6
40.0,technician,married,basic.9y,unknown,no,no,cellular,jul,mon,f06fb838-aecf-441c-8100-3e4ead74efb6
47.0,self-employed,married,university.degree,no,yes,no,cellular,jul,mon,bc76d274-43bf-4194-acba-2f1779a525f5
42.0,blue-collar,single,basic.4y,unknown,no,no,cellular,jul,mon,9f1fcf8a-ffa2-4135-965f-b28cf8b2b560
47.0,technician,married,professional.course,no,no,no,cellular,jul,mon,a5710f42-e9e1-4d8e-8906-161470c53fe3
31.0,entrepreneur,married,basic.6y,no,yes,yes,cellular,jul,mon,4d5c159b-5e1b-45bc-bbc7-31f2be1830aa
45.0,management,married,unknown,unknown,no,no,cellular,jul,mon,888fc133-bc49-4410-9a50-b33443f4da17
26.0,admin.,single,university.degree,no,yes,yes,cellular,jul,mon,51230b5d-5d48-4975-8783-26736a243525
52.0,blue-collar,married,basic.9y,no,no,no,cellular,jul,mon,00844c3d-f50c-4da5-8531-c7f1e872fbe1
30.0,admin.,single,university.degree,no,no,no,cellular,jul,mon,09704a2a-af69-417d-8ed1-de5d63a24b70
51.0,management,married,basic.4y,no,no,no,cellular,jul,mon,95aa74b8-3d24-439e-ac5a-8b14f9f4ddfd
41.0,blue-collar,married,basic.9y,unknown,no,no,cellular,jul,mon,abf5db16-bad2-40f2-8b4a-ab0a9db174e0
46.0,admin.,married,basic.9y,unknown,no,no,cellular,jul,mon,cb9ea798-2a46-49bc-962f-931c33c7e15b
31.0,management,married,high.school,no,no,no,cellular,jul,mon,ef3cd7b4-1690-44e7-8d16-8577cb69faf0
45.0,admin.,divorced,university.degree,no,no,no,cellular,jul,mon,f85bdf59-1521-442a-a4ca-2704f10e9f09
42.0,admin.,single,university.degree,no,no,no,cellular,jul,mon,4f3432a2-25b7-41d6-b450-2f27936b2e41
47.0,services,single,basic.9y,no,no,no,cellular,jul,mon,03baca0e-1f26-4fae-b44f-f4e9e91b34f5
56.0,blue-collar,single,basic.4y,no,yes,no,cellular,jul,mon,92cd2a33-99f2-4b8a-aad7-e3364d6e2117
37.0,self-employed,single,basic.4y,no,unknown,unknown,cellular,jul,mon,f6e89551-0876-4799-8572-c1caa47ea99e
41.0,blue-collar,single,basic.4y,no,unknown,unknown,cellular,jul,mon,e4e69be5-71ff-49e4-a6cd-561b36f546ef
42.0,blue-collar,divorced,basic.9y,no,no,no,cellular,jul,mon,12f24020-2675-4740-9881-3374ad8a9ef8
23.0,blue-collar,single,basic.9y,no,no,no,cellular,jul,mon,0d396488-aa55-40f2-9941-6a47a8acdc4a
42.0,housemaid,divorced,basic.4y,unknown,no,no,cellular,jul,mon,72848bec-29fb-4822-88a4-f620fcab0fef
56.0,admin.,divorced,basic.6y,no,yes,no,cellular,jul,mon,a1eefc14-c32f-4b45-928c-9b8cb3c27ae4
39.0,housemaid,married,basic.4y,no,no,no,cellular,jul,mon,87ff7f8f-a193-4acc-a6ad-fb0788be1e12
31.0,housemaid,divorced,high.school,no,yes,no,cellular,jul,mon,d840ca0c-3704-4c7c-b8ae-b5fd37acf5cd
37.0,blue-collar,married,basic.9y,no,no,no,cellular,jul,mon,280a2d30-c681-453d-a76d-667e221ccd4c
40.0,technician,married,high.school,no,yes,no,cellular,jul,mon,dc914647-5530-43b7-b176-9135e41a2aa9
43.0,management,married,university.degree,unknown,no,no,cellular,jul,mon,49df2181-d531-455f-a8ea-28c4c652adc6
39.0,technician,married,basic.9y,no,no,no,cellular,jul,mon,143144f1-1345-4c51-8fdc-5ed8afdabb99
40.0,self-employed,married,high.school,unknown,yes,no,telephone,jul,mon,0ee4e142-21a0-4044-bca4-aada2f036434
47.0,blue-collar,single,basic.9y,no,yes,yes,telephone,jul,mon,77dc5a59-0be3-47f1-88ec-d1c00015007d
50.0,blue-collar,married,basic.4y,unknown,yes,no,cellular,jul,mon,bbb92fbc-c2e4-41a1-8be9-d6a1d41c635c
30.0,services,married,high.school,no,yes,no,cellular,jul,mon,2d9a65dc-855c-41cd-bb20-54dd373d0332
40.0,unemployed,single,high.school,no,yes,no,cellular,jul,mon,329616f4-b388-4f67-a941-52a8a128de0f
32.0,services,single,high.school,no,no,no,cellular,jul,mon,feb14a38-dad4-4f66-b5b8-9ef14a0895fd
25.0,admin.,married,high.school,no,no,yes,cellular,jul,mon,90ce30fc-81e3-41b9-9a01-4e8c37a6e586
29.0,technician,married,professional.course,no,no,no,cellular,jul,mon,390231d6-12f0-479f-96e6-553b07e2d117
56.0,retired,married,basic.4y,no,yes,no,cellular,jul,mon,5472b008-9898-4957-9fd5-b06536954271
31.0,services,single,high.school,no,yes,yes,cellular,jul,mon,201dc9ab-7ca2-4911-863c-f723d423a4a0
42.0,blue-collar,divorced,basic.9y,no,no,no,telephone,jul,mon,ac9ad824-6149-442b-97da-10ccb4a4fdd3
50.0,blue-collar,divorced,high.school,no,yes,yes,cellular,jul,mon,5461d2b9-1e9b-40cd-b699-be21b676211a
41.0,blue-collar,married,basic.4y,no,yes,no,cellular,jul,mon,58d41124-be31-4f6c-9e56-1fbcca37eb02
38.0,blue-collar,married,basic.9y,unknown,yes,no,cellular,jul,mon,d5e8e7fa-962a-47c9-ae0d-37e67644bfb2
46.0,entrepreneur,married,university.degree,unknown,no,yes,telephone,jul,mon,7377ae4d-93bc-459f-ad16-c92478849624
32.0,management,single,university.degree,no,no,no,telephone,jul,mon,10fcbc9a-7c84-46fd-82c3-ad3fcdc635af
31.0,technician,married,university.degree,no,yes,yes,cellular,jul,mon,a68f9332-95dd-494a-9edd-76934d93465a
35.0,blue-collar,married,basic.9y,no,no,no,telephone,jul,mon,9329758d-6550-4fd4-84eb-ba2d9efd0d4b
44.0,services,married,high.school,no,no,no,cellular,jul,mon,2e7c4909-41ed-4698-a850-4182c1ada4ba
39.0,services,married,high.school,unknown,yes,no,telephone,jul,mon,0d66f2fe-0f16-4c6f-90ec-fea9c0a11c32
36.0,admin.,married,university.degree,no,no,no,cellular,jul,mon,6d3bbb1d-bd09-43c4-b130-95331e4c3fcf
39.0,unemployed,married,high.school,no,no,no,cellular,jul,mon,7352530f-8fac-48bc-b6cd-eb22bab52c50
56.0,blue-collar,married,basic.9y,unknown,no,no,telephone,jul,mon,8f21ad10-3e91-43fc-b6a8-c36089e30a33
28.0,housemaid,single,basic.6y,no,no,no,cellular,jul,mon,c97a54aa-aa78-4ced-a764-dc437d7d11ec
40.0,blue-collar,married,basic.9y,unknown,no,no,cellular,jul,mon,b0666c24-5bcc-4ca9-8f11-690e540b6996
23.0,admin.,single,university.degree,no,yes,yes,telephone,jul,mon,67b79b4d-af70-4bc4-bd95-ba5dd5fcaacd
49.0,unemployed,divorced,basic.9y,unknown,no,no,cellular,jul,mon,49fe20ce-2dc8-4300-8346-698bab0f6517
28.0,blue-collar,married,basic.9y,no,yes,no,cellular,jul,mon,6adc57e3-1d38-4f22-b689-df24fdbea8f8
49.0,admin.,divorced,high.school,no,no,no,cellular,jul,mon,c5658ae8-933c-4837-92ad-badfdf76629b
39.0,housemaid,married,basic.4y,no,yes,no,cellular,jul,mon,5ea21357-da5b-4f7a-848b-147c8c2eedd8
36.0,blue-collar,married,basic.6y,unknown,no,no,cellular,jul,mon,741f07b5-fa5a-4939-af10-4c6a8e5346bf
45.0,services,single,basic.9y,unknown,no,yes,cellular,jul,mon,c271c7ca-8b0e-4c10-870b-42c6e619fd9a
51.0,blue-collar,married,basic.4y,unknown,no,yes,cellular,jul,mon,423b393c-5ef2-4a24-9f82-5537d0d39d27
33.0,services,divorced,unknown,no,no,no,cellular,jul,mon,f768fea7-9e0b-406f-97d0-0e37bf52cbc7
47.0,services,married,basic.6y,no,yes,no,cellular,jul,mon,214de1b7-6dd9-47a9-826c-7785ac6791b5
33.0,unemployed,divorced,basic.9y,no,unknown,unknown,cellular,jul,mon,957b774a-a489-40fe-a184-862ee3b2197c
36.0,housemaid,married,university.degree,no,yes,no,cellular,jul,mon,115e7837-61da-412c-9154-c1719cc8c43a
41.0,admin.,single,high.school,no,no,no,cellular,jul,mon,051e5ae4-ec0a-4187-a925-49ca86b9d232
42.0,entrepreneur,married,high.school,no,no,no,cellular,jul,mon,cef5ae45-8577-4946-b63e-086ee9d4ca8f
42.0,entrepreneur,married,high.school,no,yes,no,cellular,jul,mon,e65d31c3-d56c-411f-88ed-b86c67a5e517
28.0,technician,married,university.degree,no,no,no,cellular,jul,mon,61402e4b-a10e-49dc-b8d7-102e828109a8
